Id,ZooName,ZooAddres,City
0,feugiat nisl,71152 North Florence Ave.,Chino
1,posuere ornare,15361  Cameroon Ct.,Moore
2,ultrices molestie cursus,64749 East Belgium Way,Sheridan
3,lacinia hymenaeos,28852  Mayotte St.,Council Bluffs
4,justo odio,24355  Sweden Ln.,Nanticoke
5,primis est,96364 West Armenia St.,Somerville
6,urna Quisque arcu,76800 North Belize St.,Jacksonville
7,Phasellus,43893 North Christmas Island Way,Seal Beach
8,hymenaeos gravida,96359 South Cerritos Ln.,East Rutherford
9,sapien massa,42323 North Bahrain Ave.,Gallup
