Id,AnimalName,Spicies,Age,CageNumber,ZooId
0,Praesent faucibus neque,imperdiet Cras mattis,18,25,30
1,non Nulla tempor,tristique,28,40,7
2,ad,taciti dapibus ac,22,36,0
3,tempus,velit orci,28,33,11
4,ante torquent purus,Aenean vulputate,27,53,37
5,purus adipiscing,pellentesque mollis,40,27,14
6,auctor Cum Duis,aliquet sed,6,35,48
7,cubilia neque,taciti gravida dui,8,6,45
8,montes ut elit,fringilla velit,8,54,22
9,ligula lobortis iaculis,porta ac commodo,6,41,13
10,Proin feugiat imperdiet,mattis,41,21,38
11,accumsan sollicitudin eu,malesuada convallis eros,25,6,15
12,Sed penatibus,ut Sed Vestibulum,12,18,25
13,sagittis fames,porta semper est,15,53,45
14,volutpat Etiam,non,9,50,36
15,metus,volutpat,24,38,32
16,pulvinar,Nulla,49,8,6
17,pulvinar,eget ullamcorper sagittis,45,4,27
18,accumsan,semper,9,6,44
19,pulvinar non mus,tempor enim id,43,19,26
20,nunc posuere,cursus dolor,33,5,40
21,volutpat malesuada,laoreet,49,31,15
22,Nam ultricies,Class,23,3,40
23,accumsan Vivamus,lacus Class,26,37,30
24,in est,pharetra,3,23,3
25,Lorem facilisis,Nulla mollis Ut,47,39,8
26,Maecenas,leo Suspendisse felis,1,41,21
27,posuere porttitor pulvinar,consectetuer lectus,13,56,41
28,hymenaeos nec varius,arcu molestie,15,51,35
29,faucibus quis,litora commodo,23,14,44
30,habitant rhoncus,risus posuere,12,46,48
31,pretium lacinia tellus,placerat blandit adipiscing,27,26,25
32,imperdiet ornare,cursus,44,45,29
33,Mauris pede,at,48,20,16
34,quam nonummy felis,mus congue,17,9,15
35,in,rutrum ullamcorper,42,1,46
36,aliquet,turpis tristique,6,44,35
37,In aliquet penatibus,euismod sagittis vitae,9,13,33
38,feugiat Vestibulum nunc,malesuada at,37,60,23
39,tortor nulla pellentesque,malesuada In rutrum,11,31,12
40,fringilla aliquam,consectetuer Aliquam natoque,49,23,22
41,nisi,dis nisi In,47,31,19
42,netus,pharetra,39,17,48
43,nulla Praesent Ut,taciti pharetra id,35,47,19
44,Donec Nulla,Class facilisis,43,60,49
45,vitae accumsan placerat,ipsum vehicula,23,36,8
46,In taciti tristique,libero nisl,8,40,20
47,aliquam at placerat,magna feugiat,22,27,17
48,mi,habitant tortor dis,23,8,26
49,commodo feugiat amet,ipsum Phasellus natoque,3,44,39
50,metus natoque,morbi diam,20,36,30
51,Nullam volutpat,Quisque Donec Nunc,50,9,44
52,Suspendisse massa Suspendisse,malesuada lacinia semper,44,0,35
53,iaculis consequat per,vehicula at eu,11,56,18
54,parturient eu,vel Cras,20,28,6
55,aptent,ut felis euismod,20,17,17
56,sociosqu,consectetuer conubia,17,21,40
57,venenatis nascetur,nascetur,28,54,26
58,Cum senectus nisi,Vivamus augue consectetuer,0,51,45
59,conubia,rutrum,46,60,0
60,feugiat,volutpat libero,4,35,38
61,conubia,interdum scelerisque bibendum,2,32,26
62,cursus,morbi enim pharetra,0,9,37
63,est,primis cubilia cubilia,20,47,3
64,consequat,orci pretium nisl,16,57,36
65,Duis In,sagittis ullamcorper suscipit,22,6,5
66,In,molestie,23,42,27
67,Pellentesque,id,16,16,10
68,morbi,litora mattis,14,31,23
69,Suspendisse justo Class,interdum aliquam ornare,11,28,1
70,posuere orci,rhoncus,13,25,33
71,primis tempus,pellentesque dui,39,10,45
72,Maecenas diam sociosqu,Nam,32,44,23
73,Ut quam,eu,18,48,12
74,viverra,amet pretium malesuada,4,46,8
75,fames faucibus sociis,in,14,21,21
76,nibh quam faucibus,accumsan,6,42,32
77,rhoncus,laoreet,27,53,11
78,sodales,Nam porta,44,3,9
79,quam,mattis,16,48,10
80,sodales,mi,34,16,1
81,Nulla dignissim,Curabitur interdum netus,23,23,15
82,elit est ad,dictum per Nam,27,2,16
83,inceptos,vitae congue orci,32,20,20
84,Pellentesque Nunc ante,viverra mollis risus,11,35,18
85,auctor nisl eros,quam Integer,34,49,22
86,scelerisque ipsum fermentum,Donec consequat ridiculus,18,24,46
87,rhoncus Nullam,Aenean consectetuer parturient,17,27,43
88,eleifend sodales,consequat,8,29,10
89,eleifend netus,tempor ridiculus per,14,44,0
90,facilisi,ac,39,51,39
91,nec,lacinia porta mattis,5,28,6
92,interdum dignissim,senectus Curabitur,47,57,28
93,In,eget vehicula,47,42,25
94,vehicula id in,augue turpis netus,34,6,43
95,quis,porttitor,35,16,9
96,Class sem,Fusce Pellentesque,31,50,26
97,blandit malesuada,interdum habitant,8,48,45
98,faucibus est tempus,id Vestibulum imperdiet,25,8,1
99,ipsum egestas,venenatis venenatis,10,58,32
100,lectus,nunc Phasellus,10,52,16
101,varius dui,velit ultricies felis,30,19,40
102,ligula Aliquam sed,malesuada,8,60,45
103,Phasellus,metus velit varius,10,47,49
104,laoreet sit,congue volutpat,5,42,43
105,placerat ridiculus,a,38,16,10
106,arcu mauris,sem tincidunt,2,42,5
107,gravida,dolor mauris ridiculus,20,3,35
108,nisi lectus,primis Vestibulum venenatis,1,8,39
109,sapien feugiat,Mauris imperdiet Mauris,23,48,19
110,in elementum,senectus,38,47,18
111,parturient quis,inceptos,31,15,39
112,faucibus,montes scelerisque lacinia,47,60,15
