Id,AnimalName,Spicies,Age,CageNumber,ZooId
0,at,luctus eleifend Nullam,48,33,9
1,suscipit cubilia mi,euismod leo,21,23,19
2,fermentum eget,ac pharetra,22,52,20
3,dui,dolor,41,15,6
4,pretium,lobortis,19,41,9
5,Praesent sodales,In,11,43,22
6,nunc,velit interdum,28,40,5
7,Aenean,elit ac,1,17,3
8,sollicitudin fames sed,Cum,20,45,23
9,fermentum,auctor iaculis,9,46,23
10,massa nisl Class,nulla Suspendisse,46,60,2
11,molestie placerat viverra,et elit,31,41,14
12,iaculis facilisi,In risus Suspendisse,38,39,17
13,imperdiet mattis mi,Fusce purus,11,1,23
14,Duis eget semper,aptent,24,51,24
15,volutpat,nec,26,24,3
16,ipsum,auctor habitant,45,50,8
17,vehicula Ut,ad,37,35,1
18,felis,Quisque semper arcu,29,7,11
19,orci Nullam,amet ac,33,54,18
20,massa Vivamus vestibulum,Cum aptent mattis,24,40,10
21,aliquet lectus,cursus,1,56,6
22,erat sociosqu,felis,21,31,7
23,habitant sociosqu In,Nullam Lorem,22,42,23
24,viverra ad consectetuer,nonummy non blandit,46,43,2
25,ullamcorper,Mauris volutpat,18,31,11
26,nonummy at sagittis,rutrum ullamcorper tortor,23,29,22
27,Etiam nisi semper,vitae litora,0,29,10
28,ligula orci,et,50,51,14
29,torquent torquent,netus Cras,41,19,2
30,odio,sit Proin,0,56,7
31,volutpat Etiam,lorem In,14,4,10
32,nunc,et,20,37,14
33,dis dictum nisl,scelerisque rhoncus,11,47,14
34,sem,habitant,41,39,6
35,ultricies bibendum at,sollicitudin,46,37,21
36,malesuada sodales Nulla,In dis porttitor,14,50,2
37,Suspendisse,velit,45,11,17
38,congue,nostra,46,8,1
39,litora nisi tristique,felis accumsan facilisis,46,37,12
40,neque hymenaeos sociis,Praesent,39,51,1
41,tristique in viverra,scelerisque porta Aenean,9,12,21
42,convallis ultricies viverra,volutpat,44,11,20
43,fames conubia Curae,nonummy imperdiet arcu,5,3,21
44,pellentesque Donec,vehicula nec,30,24,1
45,tortor augue,convallis euismod,47,20,24
46,feugiat,pede,20,33,19
47,interdum Donec mus,Nullam eros,23,14,15
48,Maecenas,pellentesque senectus Proin,22,21,6
49,arcu tempor,metus,0,56,13
50,lectus,Quisque,33,13,13
51,nisi,penatibus volutpat arcu,36,16,0
52,Aliquam parturient,vestibulum ipsum,12,16,8
53,Aliquam magna,felis Praesent eu,42,19,11
54,malesuada,nibh lacus,29,0,23
55,Phasellus lobortis nulla,suscipit penatibus,44,40,23
56,posuere aliquam cubilia,felis Morbi euismod,10,35,17
57,primis netus nibh,congue tincidunt,45,18,20
58,lobortis quam Aliquam,nunc In,36,44,1
59,dictum,Sed,5,42,9
60,risus lacus egestas,Curabitur,34,31,4
61,nunc,Etiam ipsum tellus,29,47,16
62,pharetra pretium lobortis,auctor primis Aenean,24,1,2
63,est,iaculis,11,46,12
64,augue metus,hymenaeos,24,45,18
65,aptent sociosqu luctus,Maecenas pellentesque,47,6,4
66,leo taciti,odio magnis,31,19,23
67,Duis,Maecenas quam,14,57,3
68,senectus porta,nibh fringilla,37,43,21
69,nibh condimentum vitae,Proin eget,49,2,19
70,varius commodo,ut elementum taciti,46,49,11
71,at,euismod aptent porta,37,15,19
72,nibh dui,Proin,37,58,15
73,felis rhoncus,aliquam,34,11,20
74,sem sem,fringilla,23,11,13
75,malesuada non lacinia,fames neque Cum,15,54,18
76,pulvinar amet,felis feugiat,34,45,16
77,purus,hymenaeos Vivamus orci,18,45,2
78,hymenaeos magnis semper,fames,27,57,3
79,arcu,augue Aliquam,37,7,18
80,Mauris egestas Nam,In turpis,18,58,12
81,tellus Phasellus,mus,37,39,14
82,Sed placerat,gravida bibendum,49,25,3
83,aliquet nisi,commodo velit,15,35,19
84,dapibus,sodales Fusce ante,36,7,20
85,Quisque orci,condimentum,19,41,0
86,euismod et,rhoncus,44,26,5
87,vestibulum litora,neque,29,30,7
88,pharetra auctor,nibh convallis ut,43,7,23
89,justo,nostra,37,24,19
90,euismod Praesent bibendum,porttitor rutrum laoreet,13,1,16
91,ornare,Nulla,49,34,18
92,pellentesque Fusce litora,Nullam,20,54,14
93,placerat diam,Praesent montes nec,2,15,4
94,semper,pharetra,35,56,24
95,ultricies,pede,35,4,18
96,iaculis,massa,17,46,20
97,sociosqu,feugiat sed,45,58,18
98,at ligula,feugiat Curabitur tristique,30,18,24
99,porta,Cum senectus lectus,23,5,2
100,magna egestas senectus,Suspendisse nisl leo,47,0,1
101,Integer Lorem,Class consequat,29,46,17
102,tortor sapien porttitor,diam,26,33,18
103,lacinia morbi,rutrum sit,2,26,4
104,id Integer,tellus sapien,24,26,21
105,felis,imperdiet massa,16,59,10
106,Nunc sed sodales,ad morbi tortor,37,3,6
107,Donec,urna,21,39,10
108,conubia,mus tempus,13,18,9
109,facilisi Cras euismod,litora,11,33,16
110,natoque massa,aptent,40,43,14
111,lorem,ante,6,50,6
112,pretium Morbi condimentum,dignissim,18,4,7
113,hendrerit,facilisis,19,49,4
114,faucibus,primis lacus a,24,26,16
115,molestie nec cursus,ultrices Cras,0,33,15
116,accumsan sem,Class elementum nec,35,59,3
117,ridiculus porttitor,nonummy magna,13,33,2
118,Aenean pretium,risus,50,25,14
119,lobortis,rutrum Etiam,24,8,6
120,ac ipsum diam,sociis Aenean,2,16,13
121,nisl massa,iaculis bibendum,50,11,14
