Id,TicketType,TicketPrice,ClientId,ZooId
0,Senior,15,73628,6
1,Senior,10,7688,23
2,Junior,10,74243,20
3,Senior,10,17549,3
4,Senior,15,43941,2
5,Senior,15,49089,12
6,Senior,5,48665,23
7,Full,10,47645,0
8,Junior,15,37817,7
9,Junior,10,57439,5
10,Junior,15,61234,20
11,Senior,10,24733,15
12,Junior,5,20684,22
13,Junior,5,8774,12
14,Junior,5,54423,11
15,Junior,10,63336,1
16,Senior,15,68311,20
17,Full,10,71155,15
18,Senior,15,13976,0
19,Senior,15,66874,6
20,Junior,5,89,16
21,Senior,5,39187,17
22,Full,10,8762,12
23,Junior,10,61885,20
24,Full,10,6650,0
25,Full,15,60915,13
26,Senior,5,68878,15
27,Full,5,60821,14
28,Junior,10,5719,21
29,Junior,10,39101,23
30,Full,15,46098,20
31,Full,15,57502,20
32,Junior,5,60034,8
33,Full,15,583,3
34,Full,15,3082,13
35,Full,5,33978,21
36,Senior,15,1264,19
37,Senior,5,38421,21
38,Junior,15,1800,11
39,Senior,10,55048,12
40,Junior,15,2263,4
41,Senior,10,2662,23
42,Full,5,15018,19
43,Senior,10,42886,4
44,Junior,10,34304,9
45,Senior,10,60490,17
46,Senior,5,28970,12
47,Full,15,16434,1
48,Full,15,50388,17
49,Full,5,24148,16
50,Senior,5,56092,7
51,Full,10,34588,13
52,Junior,5,38309,8
53,Full,5,21205,8
54,Junior,15,48422,5
55,Senior,5,70532,13
56,Full,5,45544,22
57,Full,5,14400,4
58,Senior,10,63097,4
59,Junior,5,41393,15
60,Senior,5,33766,17
61,Senior,15,31736,11
62,Senior,15,27020,15
63,Senior,5,44588,19
64,Senior,10,36803,2
65,Junior,10,51936,9
66,Junior,15,31915,15
67,Senior,10,33869,6
68,Junior,15,67312,11
69,Senior,15,41687,3
70,Junior,10,33278,9
71,Full,5,1336,6
72,Junior,15,28272,22
73,Senior,15,74755,21
74,Full,5,61411,5
75,Junior,10,48190,11
76,Junior,5,35641,2
77,Senior,15,50412,2
78,Full,10,44675,4
79,Junior,15,40048,22
80,Senior,5,74961,18
81,Junior,15,1366,12
82,Junior,15,60432,17
83,Junior,10,64087,9
84,Full,15,1097,21
85,Junior,15,44246,9
86,Senior,5,68291,16
87,Senior,15,71468,10
88,Junior,5,13201,6
89,Full,15,51647,1
90,Junior,5,49880,23
91,Junior,5,28506,0
92,Senior,15,34581,24
93,Senior,10,10686,3
94,Senior,5,5440,19
95,Senior,5,56272,10
96,Full,5,18567,14
97,Full,5,33911,18
98,Full,10,44375,16
99,Senior,15,18529,13
100,Senior,5,27298,22
101,Junior,5,47519,11
102,Full,15,37164,9
103,Senior,5,73819,9
104,Full,5,10895,2
105,Full,15,51122,14
106,Junior,10,5880,1
107,Senior,10,15813,6
108,Junior,15,68085,8
109,Senior,5,11143,11
110,Junior,5,2383,13
111,Senior,5,3307,16
112,Junior,15,24711,21
113,Junior,5,15976,9
114,Senior,5,72606,9
115,Senior,10,42914,21
116,Full,5,33063,6
117,Full,10,22111,5
118,Full,5,20606,4
119,Senior,5,70552,1
120,Junior,15,25461,9
121,Full,5,27757,3
122,Senior,10,19643,13
123,Senior,15,17676,0
124,Senior,15,53219,5
125,Junior,10,51348,1
126,Full,10,72927,21
127,Senior,5,16984,9
128,Full,5,71929,13
129,Junior,15,39289,21
130,Senior,5,47737,4
131,Senior,10,46387,8
132,Senior,10,19440,16
133,Full,15,36085,2
134,Senior,5,17487,3
135,Junior,10,54023,14
136,Junior,15,33866,0
137,Senior,15,57637,17
138,Senior,15,68069,10
139,Full,5,32059,0
140,Senior,15,28866,0
141,Junior,5,41254,17
142,Full,5,50939,21
143,Junior,5,8854,19
144,Junior,5,41569,10
145,Full,5,41908,18
146,Junior,15,61153,2
147,Junior,15,60106,8
148,Full,15,72948,21
149,Senior,10,29044,0
150,Junior,15,58130,1
151,Senior,15,18435,14
152,Junior,5,21740,24
153,Full,10,70005,23
154,Full,10,43566,3
155,Senior,10,50322,22
156,Full,10,5271,16
157,Senior,15,20302,22
158,Full,15,18364,18
159,Junior,15,69335,7
160,Full,5,23415,13
161,Full,15,23927,11
162,Senior,10,59549,17
163,Full,15,38385,24
164,Junior,5,38054,20
165,Junior,5,41083,20
166,Junior,5,69790,7
167,Senior,10,8827,17
168,Senior,10,15140,1
169,Senior,15,13383,18
170,Senior,10,56840,22
171,Junior,10,22610,16
172,Junior,15,2596,9
173,Full,5,49236,2
174,Full,5,2172,23
175,Full,15,71471,18
176,Junior,5,8407,13
177,Senior,10,73990,16
178,Full,15,70614,24
179,Full,15,30180,3
180,Junior,5,2214,3
181,Full,10,47339,5
182,Senior,5,15670,7
183,Senior,10,130,0
184,Junior,5,9111,10
185,Full,10,31185,17
186,Junior,15,23270,10
187,Full,5,59744,1
188,Junior,15,41806,14
189,Senior,15,69421,0
190,Junior,5,68771,22
191,Junior,10,69279,7
192,Junior,5,46943,5
193,Senior,10,27974,18
194,Junior,15,53343,19
195,Senior,10,9760,11
196,Full,15,16309,4
197,Junior,10,24307,20
198,Junior,5,17739,19
199,Junior,15,19882,19
200,Senior,15,57017,15
201,Senior,15,33433,13
202,Senior,5,34463,3
203,Junior,5,6004,22
204,Senior,15,28464,24
205,Junior,10,14396,23
206,Senior,15,6231,3
207,Full,15,39146,5
208,Full,10,9437,23
209,Senior,5,1229,8
210,Junior,5,40186,16
211,Full,5,18820,6
212,Junior,15,58441,0
213,Senior,10,36293,14
214,Junior,15,26979,21
215,Senior,5,55777,2
216,Senior,15,26381,20
217,Junior,5,2912,8
218,Senior,15,8891,20
219,Senior,15,37367,19
220,Full,15,62006,7
221,Senior,15,25364,11
222,Senior,5,72845,7
223,Full,15,30652,19
224,Full,10,5086,4
225,Junior,10,17728,15
226,Senior,10,8872,15
227,Full,15,1558,12
228,Junior,5,37054,9
229,Senior,5,1291,1
230,Senior,5,24009,23
231,Full,10,44475,0
232,Senior,10,33401,24
233,Full,5,72206,0
234,Junior,5,66104,14
235,Junior,15,6264,23
236,Full,15,16209,8
237,Senior,10,51754,20
238,Full,10,39448,21
239,Junior,5,49420,17
240,Full,5,28615,12
241,Full,5,13404,3
242,Full,15,57074,2
243,Junior,15,51711,22
244,Junior,15,50895,2
245,Senior,5,68441,16
246,Senior,15,70478,4
247,Senior,10,1257,23
248,Senior,5,6963,0
249,Full,15,12632,14
250,Full,15,1671,8
251,Junior,10,72700,0
252,Senior,15,42775,14
253,Junior,10,17413,9
254,Full,15,44555,23
255,Full,5,8228,24
256,Junior,15,68013,14
257,Junior,15,26010,23
258,Full,15,11835,10
259,Senior,5,59039,4
260,Junior,15,9100,24
261,Junior,10,11248,7
262,Junior,5,14368,17
263,Senior,15,64158,23
264,Junior,5,26623,8
265,Senior,10,47584,20
266,Full,15,44625,17
267,Junior,15,33403,22
268,Junior,10,51496,18
269,Full,10,11234,21
270,Full,5,47072,12
271,Senior,10,8144,7
272,Junior,5,63666,19
273,Senior,10,3033,11
274,Junior,5,23845,8
275,Junior,10,4197,23
276,Full,10,73358,18
277,Senior,10,44626,6
278,Senior,15,3546,5
279,Senior,15,15343,18
280,Junior,5,68271,24
281,Full,10,17923,24
282,Junior,15,14767,22
283,Senior,5,58896,9
284,Senior,10,66049,3
285,Full,10,10838,5
286,Full,15,70919,19
287,Full,15,21946,18
288,Junior,15,42983,7
289,Senior,15,49157,9
290,Junior,15,48149,9
291,Junior,5,73124,3
292,Junior,5,72479,19
293,Full,15,67780,18
294,Junior,10,11974,23
295,Senior,5,56457,2
296,Senior,10,52458,5
297,Full,15,9354,15
298,Junior,5,37672,21
299,Senior,5,25230,2
300,Full,15,4287,20
301,Full,15,47569,9
302,Full,5,28512,21
303,Junior,10,19879,19
304,Full,15,2256,19
305,Senior,5,3392,3
306,Senior,5,58563,19
307,Senior,5,1298,23
308,Junior,15,50326,4
309,Senior,10,24304,16
310,Full,5,60181,18
311,Senior,5,14277,3
312,Junior,10,3337,11
313,Full,15,56575,3
314,Full,15,41949,24
315,Senior,15,68113,8
316,Junior,15,63738,10
317,Senior,15,20938,9
318,Senior,10,46605,10
319,Junior,15,39434,20
320,Junior,5,25927,9
321,Full,15,70976,17
322,Full,5,21345,16
323,Senior,15,71158,20
324,Senior,10,35991,11
325,Senior,10,38979,23
326,Junior,5,61030,15
327,Junior,15,66018,6
328,Full,10,2782,7
329,Junior,15,23615,12
330,Senior,5,31852,7
331,Full,15,69340,15
332,Junior,5,12948,1
333,Full,5,30978,8
334,Junior,15,56269,19
335,Senior,15,19401,11
336,Senior,10,53720,5
337,Senior,15,19988,17
338,Junior,5,54369,8
339,Senior,5,45642,3
340,Full,15,53173,22
341,Full,15,2654,4
342,Senior,5,23254,17
343,Full,15,67051,5
344,Full,10,1710,2
345,Full,5,50381,4
346,Junior,10,18194,22
347,Junior,10,31225,7
348,Junior,5,24016,12
349,Junior,5,71455,21
350,Full,10,27104,10
351,Full,10,42618,14
352,Full,10,68421,7
353,Senior,10,73281,16
354,Junior,5,1652,3
355,Junior,5,31484,4
356,Senior,10,3888,3
357,Senior,15,4482,24
358,Senior,15,41616,24
359,Full,5,1163,23
360,Full,15,25137,13
361,Junior,15,9625,4
362,Junior,10,66030,11
363,Junior,10,61841,8
364,Senior,15,66581,17
365,Senior,10,25049,8
366,Full,5,10082,3
367,Senior,10,61145,7
368,Senior,15,17638,12
369,Senior,10,13796,12
370,Senior,5,70097,3
371,Junior,10,61775,22
372,Senior,15,6088,6
373,Junior,10,12737,13
374,Junior,5,10489,1
375,Full,15,29874,18
376,Junior,10,15472,21
377,Full,5,37815,6
378,Full,10,62026,8
379,Senior,10,72954,23
380,Full,10,63121,2
381,Full,5,51178,15
382,Senior,5,1239,8
383,Junior,15,10189,23
384,Junior,15,40662,17
385,Junior,15,18998,11
386,Full,5,4552,23
387,Junior,10,17751,0
388,Junior,5,48651,10
389,Full,15,42742,20
390,Senior,15,15208,4
391,Senior,10,43532,24
392,Full,15,58510,10
393,Junior,10,50459,16
394,Senior,15,11079,16
395,Junior,10,58735,24
396,Junior,5,36017,23
397,Junior,15,63629,13
398,Senior,5,13590,1
399,Senior,5,30222,2
400,Senior,10,1275,2
401,Full,10,16624,9
402,Senior,10,59778,12
403,Full,10,58524,3
404,Full,5,67836,7
405,Junior,15,56087,7
406,Senior,10,51542,7
407,Junior,15,1850,9
